  frus1894/d258 1894-08-06 head/from name='Gresham' | head='Mr. Gresham to Sir Julian Pauncefote .' | chap=Great Britain united-kingdom d.Instructions,notesToFM | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
## B|1861-1899|one:corroborated(dept-tier2) count=2162
  frus1895p1/d458 1895-09-26 enclosure/to name='Adee' | head='Mr. Olney to Baron Thielmann .' | chap=Germany germany d.Instructions,notesToFM | pocom=one Alvey Augustus Adee | rule=['Alvey Augustus Adee'] 
  frus1894/d425 1894-03-12 head/from name='Uhl' | head='Mr. Uhl to Mr. Romero .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
  frus1876/d43 1876-08-31 head/from name='Cadwalader' | head='No. 43. Mr. Cadwalader to Mr. Seward .' | chap=China. china d.Instructions,notesToFM | pocom=one John Lambert Cadwalader | rule=['John Lambert Cadwalader'] 
  frus1896/d563 1896-11-30 head/to name='Rockhill' | head='Mr. Springer to Mr. Rockhill .' | chap=Spain spain d.Despatches | pocom=one William Woodville Rockhill | rule=['William Woodville Rockhill'] 
  frus1899/d139 1899-08-24 head/from name='Adee' | head='Mr. Adee to Mr. Conger .' | chap=China china d.Instructions,notesToFM | pocom=one Alvey Augustus Adee | rule=['Alvey Augustus Adee'] 
  frus1898/d653 1898-05-04 head/from name='Moore' | head='Mr. Moore to Mr. Cambon .' | chap=Spain spain d.Instructions,notesToFM | pocom=one John Bassett Moore | rule=['John Bassett Moore'] 
  frus1893/d9 1892-03-01 enclosure/to name='Wharton' | head='Mr. Blaine to Mr. Dockery .' | chap=Brazil brazil d.Instructions,notesToFM | pocom=one William Fisher Wharton | rule=['William Fisher Wharton'] 
  frus1894/d366 1894-01-26 head/from name='Uhl' | head='Mr. Uhl to Mr. Potter .' | chap=Italy italy d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
  frus1895p1/d560 1895-05-13 head/from name='Uhl' | head='Mr. Uhl to Sir Julian Pauncefote .' | chap=Great Britain united-kingdom d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
  frus1895p2/d43 1895-02-12 head/to name='Uhl' | head='Mr. Peterson to Mr. Uhl .' | chap=Hawaii hawaii d.Despatches | pocom=one Edwin Fuller Uhl | rule=['Edwin Fuller Uhl'] 
## B|1861-1899|one:untestable-uncovered-only count=1056
  frus1894app2/d42 1854-10-02 head/from name='Gregg' | head='Mr. Gregg to Mr. Marcy .' | chap=  d.Despatches | pocom=one David Lawrence Gregg | rule=[] 
  frus1894app1/d288 1894-05-22 head/from name='Bayard' | head='Mr. Bayard to Mr. Gresham .' | chap=  d.Despatches | pocom=one Thomas Francis Bayard | rule=[] 
  frus1872p2v1/d317 1866-02-17 head/from name='Dickinson' | head='Mr. Dickinson , district attorney, to Mr. Seward , Secretary of State.' | chap=  d.Despatches | pocom=one Andrew B. Dickinson | rule=[] 
  frus1894app2/d206 1893-02-16 head/to name='Stevens' | head='Mr. Foster to Mr. Stevens .' | chap=  d.Instructions,notesToFM | pocom=one John Leavitt Stevens | rule=[] 
  frus1897/d444 1896-12-22 head/to name='Uhl' | head='Mr. Olney to Mr. Uhl .' | chap=  d.Instructions,notesToFM | pocom=one Edwin Fuller Uhl | rule=[] 
  frus1894app2/d472 1893-12-23 head/from name='Willis' | head='Mr. Willis to Mr. Gresham .' | chap=  d.Despatches | pocom=one Albert Shelby Willis | rule=[] 
  frus1894app1/d132 1893-11-23 head/from name='Bayard' | head='Mr. Bayard to Mr. Gresham .' | chap=  d.Despatches | pocom=one Thomas Francis Bayard | rule=[] 
  frus1894app1/d278 1894-04-02 head/to name='Baker' | head='Mr. Gresham to Mr. Baker .' | chap=  d.Instructions,notesToFM | pocom=one Lewis Baker | rule=[] 
  frus1894app2/d52 1867-08-05 head/from name='McCook' | head='Mr. McCook to Mr. Seward .' | chap=  d.Despatches | pocom=one Edward Moody McCook | rule=[] 
  frus1894app2/d100 1889-07-09 head/from name='Merrill' | head='Mr. Merrill to Mr. Blaine .' | chap=  d.Despatches | pocom=one George W. Merrill | rule=[] 
## B|1861-1899|several:->one(chief) count=1488
  frus1880/d177 1880-08-13 enclosure/to name='Seward' | head='No. 177. Mr. Seward to Mr. Evarts .' | chap=China china d.Despatches | pocom=several | rule=['George Frederick Seward'] 
  frus1879/d99 1879-03-31 enclosure/to name='Osborn' | head='No. 86. Mr. Osborn to Mr. Evarts .' | chap=Chili. chile d.Despatches | pocom=several | rule=['Thomas Andrew Osborn'] 
  frus1865p2/d498 1865-09-23 head/to name='Mr. Clay' | head='Mr. Seward to Mr. Clay' | chap=Russia. russia d.Instructions,notesToFM | pocom=several | rule=['Cassius Marcellus Clay'] 
  frus1893/d125 1894-01-29 head/from name='Thompson' | head='Mr. Thompson to Mr. Gresham .' | chap=Brazil brazil d.Despatches | pocom=several | rule=['Thomas Larkin Thompson'] 
  frus1885/d439 1885-04-04 head/from name='S. L. Phelps' | head='Mr. S. L. Phelps to Mr. Bayard .' | chap=Peru peru d.Despatches | pocom=several | rule=['Seth Ledyard Phelps'] 
  frus1891/d24 1891-10-05 head/to name='Grant' | head='Mr. Wharton to Mr. Grant .' | chap=Austria-Hungary austria d.Instructions,notesToFM | pocom=several | rule=['Frederick Dent Grant'] 
  frus1894/d757 1894-10-17 head/from name='Terrell' | head='Mr. Terrell to Mr. Gresham .' | chap=Turkey turkey d.Despatches | pocom=several | rule=['Alexander Watkins Terrell'] 
  frus1890/d211 1890-01-10 head/to name='Phelps' | head='Mr. Blaine to Mr. Phelps .' | chap=Germany. germany d.Instructions,notesToFM | pocom=several | rule=['William Walter Phelps'] 
  frus1878/d79 1878-10-24 head/from name='Osborn' | head='No. 74. Mr. Osborn to Mr. Evarts .' | chap=Chili. chile d.Despatches | pocom=several | rule=['Thomas Andrew Osborn'] 
  frus1879/d27 1879-09-20 head/from name='Osborn' | head='No. 16. Mr. Osborn to Mr. Evarts .' | chap=Correspondence.Argentine Rep argentina d.Despatches | pocom=several | rule=['Thomas Ogden Osborn'] 
## B|1861-1899|several:->one(dept-tier1) count=600
  frus1877/d347 1877-02-13 head/to name='Fish' | head='No. 347. Mr. Farman to Mr. Fish .' | chap=Turkish Empire turkey consularDespatches | pocom=several | rule=['Hamilton Fish'] 
  frus1877/d131 1877-01-10 head/from name='Fish' | head='No. 131. Mr. Fish to Sir Edward Thornton .' | chap=Great Britain united-kingdom d.Instructions,notesToFM | pocom=several | rule=['Hamilton Fish'] 
  frus1876/d79 1876-02-28 head/to name='Fish' | head='No. 78. Mr. Davis to Mr. Fish .' | chap=Germany. germany d.Despatches | pocom=several | rule=['Hamilton Fish'] 
  frus1881/d737 1881-04-06 head/to name='Blaine' | head='No. 733. Mr. Baker to Mr. Blaine .' | chap=Venezuela venezuela d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
  frus1881/d241 1881-06-23 head/to name='Blaine' | head='No. 237. Mr. Noyes to Mr. Blaine .' | chap=France france d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
  frus1881/d551 1881-04-19 head/to name='Blaine' | head='No. 547. Mr. Christiancy to Mr. Blaine .' | chap=Peru peru d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
  frus1881/d501 1881-04-19 head/from name='Blaine' | head='No. 497. Mr. Blaine to Señor de Zamacona .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=several | rule=['James Gillespie Blaine'] 
  frus1877/d23 1877-02-09 head/from name='Fish' | head='No. 23. Mr. Fish to Mr. Beale .' | chap=Austria-Hungary. austria d.Instructions,notesToFM | pocom=several | rule=['Hamilton Fish'] 
  frus1877/d112 1877-02-26 head/to name='Fish' | head='No. 112. Mr. Davis to Mr. Fish .' | chap=Germany germany d.Despatches | pocom=several | rule=['Hamilton Fish'] 
  frus1881/d33 1881-03-30 head/to name='Blaine' | head='No. 33. Mr. Kasson to Mr. Blaine .' | chap=Austria-Hungary austria d.Despatches | pocom=several | rule=['James Gillespie Blaine'] 
## B|1861-1899|several:->one(dept-tier1-over-same-surname-tier2) count=8733
  frus1866p1/d401 1866-08-05 enclosure/from name='Mr. G. F. Seward' | head='Mr. Williams to Mr. Seward' | chap=China. china d.Despatches | pocom=several | rule=['William Henry Seward'] 
  frus1865p2/d420 1865-06-01 head/to name='Mr. Seward' | head='Mr. Bigelow to Mr. Seward' | chap=France. france d.Despatches | pocom=several | rule=['William Henry Seward'] 
