band	volume	last_two_path_titles	docs
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXV.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXVI.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXVII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXVIII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXX.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXXI.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXXII.	1
1861-1899	frus1872p2v4	IV. Opinions of the arbitrators / Opinions of Count Sclopis.	1
1861-1899	frus1872p2v4	IV. Opinions of the arbitrators / Opinions of Mr. Adams.	1
1861-1899	frus1872p2v4	IV. Opinions of the arbitrators / Opinions of Mr. Shæmpfli.	1
1861-1899	frus1872p2v4	IV. Opinions of the arbitrators / Opinions of Sir Alexander Cockburn.	1
1861-1899	frus1872p2v4	IV. Opinions of the arbitrators / Opinions of Viscount D’Itajuba.	1
1861-1899	frus1872p2v4	V. Reply of the Secretary of State, acknowledging the receipt of the report of the agent of the United States, and commenting upon the opinion of the arbitrator appointed by Her Britannic Majesty	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / I.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / II.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / III.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / IV.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / IX.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / V.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / VI.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / VII.	1
1861-1899	frus1872p2v4	VII. Appendix: Opinions of statesmen, magazines, and journals of Great Britain and the continent on the construction of the treaty of Washington / VIII.	1
1861-1899	frus1872p2v5	I. Memorial on the Canal de Haro as the boundary line of the United States of America, presented in the name of the American government to His Majesty William I, German Emperor and King of Prussia, as arbitrator, by the American plenipotentiary, George Bancroft.	1
1861-1899	frus1872p2v5	II. Case of the government of Her Britannic Majesty, submitted to the arbitration and award of His Majesty the Emperor of Germany, in accordance with Article XXXIV of the treaty between Great Britain and the United States of America, signed at Washington, May 8, 1871.	1
1861-1899	frus1872p2v5	III. Reply of the United States to the case of the government of Her Britannic Majesty, presented to His Majesty the Emperor of Germany, as arbitrator, under the provisions of the Treaty of Washington, June 12, 1872. / Reply.	1
1861-1899	frus1872p2v5	IV. Northwest American water boundary. Second and definitive statement on behalf of the government of Her Britannic Majesty, submitted to His Majesty the Emperor of Germany, under the Treaty of Washington of May 8, 1871. / *Memorandum relative to the origin and privileges of the Hudson’s Bay Company.Referred to in the Statement, page 2, note *.[xxvii]	1
1861-1899	frus1872p2v5	IV. Northwest American water boundary. Second and definitive statement on behalf of the government of Her Britannic Majesty, submitted to His Majesty the Emperor of Germany, under the Treaty of Washington of May 8, 1871. / Northwest American water boundary.	1
1861-1899	frus1872p2v5	V. Correspondence. / Charts which accompanied the case of the government of Her Britannic Majesty.	1
1861-1899	frus1873p2v3	Confidential memorandum for the use of the commissioners on the part of the United States in the American-British Joint High Commission, Washington, 1871. / II.—The fisheries.	1
1861-1899	frus1873p2v3	Confidential memorandum for the use of the commissioners on the part of the United States in the American-British Joint High Commission, Washington, 1871. / III.—Navigation of the St. Lawrence.	1
1861-1899	frus1873p2v3	Confidential memorandum for the use of the commissioners on the part of the United States in the American-British Joint High Commission, Washington, 1871. / V.— Northwest water boundary and the island of San Juan.	1
1861-1899	frus1873p2v3	II.—Appointment of the American commissioners and secretary. / II.—Appointments.	1
1861-1899	frus1873p2v3	III.—Instructions to the American commissioners. / III.—Instructions to the American commissioners.	1
1861-1899	frus1874	Proclamation, etc.	1
1861-1899	frus1875v01	Barbary States. / TUNIS.	1
1861-1899	frus1888p2	Correspondence with the minister of foreign affairs of Salvador	1
1861-1899	frus1888p2	Inclosures. / Part II.—Correspondence relative to the Abolition of Tonnage Dues.	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 156, Fifty-third Congress, second session / Message from the President of the United States, transmitting A dispatch from the U. S. minister at Honolulu	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 57, Fifty-third Congress, second session / Message from the President of the United States, transmitting copies of additional dispatches from the minister at Hawaii, and inclosures accompanying the same.	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 60, Fifty-third Congress, third session / Message from the President of the United States, transmitting Copy of a dispatch from Mr. Willis, minister at Hawaii, and the reply thereto.	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 65, Fifty-third Congress, second session / Message from the President of the United States, transmitting A dispatch and inclosures recently received from the minister at Hawaii.	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 77, Fifty-second Congress, second session / Report upon the official relations of the United States with the Hawaiian Islands from the first appointment of a consular officer there by this government.	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 85, Fifty-third Congress, second session / Message from the President of the United States, transmitting A dispatch from U. S. minister at Honolulu, with the reply thereto.	1
1861-1899	frus1894app2	Senate Ex. Doc. No. 92, Fifty-third Congress, second session / Message from the President of the United States, transmitting A communication from the Secretary of State in regard to recent dispatches from the U. S. minister at Honolulu.	1
1861-1899	frus1896	Greater Republic of Central America / Nicaraguan Canal	1
1861-1899	frus1897	Greater Republic of Central America / Arbitration of the boundary dispute between Nicaragua and Costa RicaSee ante, p. 111.	1
1861-1899	frus1898	Miscellaneous / Circulars to the United States legations—International Postal Congress	1
1861-1899	frus1898	Miscellaneous / Circulars to the United States representatives abroad—War with Spain	1
1900-1905	frus1901China	Agreement between Germany and Great Britain in regard to their mutual policy in China, October 16, 1900.	144
1900-1905	frus1901China	Telegraphic Correspondence.	79
1900-1905	frus1905	CircularsCorrespondence / Death of Secretary of State John Hay	53
