creatorNaId,heading,authorityType,recordCount,recordGroupCount,recordGroups,creatorTypes
10465486,"Department of State. U.S. Embassy, Canada. (11/18/1943 - )",organization,18,3,59 76 84,Most Recent=17 Predecessor=1
10527934,"Department of State. U.S. Embassy, Turkey. (ca. 10/12/1927 - )",organization,18,1,84,Most Recent=18
10485055,Economic Cooperation Administration. Office of the Deputy Administrator. (1948 - 1951),organization,18,1,469,Most Recent=9 Predecessor=9
10480549,Office for Emergency Management. Division of Information. (02/28/1941 - 06/13/1942),organization,18,1,208,Predecessor=18
10452894,Office for Emergency Management. Office of War Information. Domestic Operations Branch. Radio Bureau. Allocation Division. (06/13/1942 - 09/15/1945),organization,18,1,208,Most Recent=18
10505070,U.S. Information Agency. Voice of America. ( 08/01/1953 - 04/01/1978),organization,18,1,306,Most Recent=17 Originator=1
10536326,U.S. International Development Cooperation Agency. Agency for International Development. (10/01/1979 - 04/01/1999),organization,18,1,286,Correspondent=1 Most Recent=16 Predecessor=1
10498618,Advisory Committee on Voluntary Foreign Aid. (05/15/1946 - ),organization,17,2,286 469,Most Recent=14 Predecessor=3
10491166,Department of State. Agency for International Development. Office of the General Counsel. (11/04/1961 - 10/01/1979),organization,17,2,286 469,Most Recent=16 Predecessor=1
26022431,Department of State. Bureau of European and Canadian Affairs. Office of European Security and Political Affairs. (09/15/1983 - 01/12/1999),organization,17,1,59,Most Recent=17
10486770,Department of State. Bureau of Far Eastern Affairs. Office of Northeast Asian Affairs. (09/27/1949 - ca. 1961),organization,17,1,59,Most Recent=16 Predecessor=1
10492920,Department of State. Bureau of Oceans and International Environmental and Scientific Affairs. (10/08/1974 - ),organization,17,1,59,Most Recent=16 Predecessor=1
10482521,Department of State. Office of the Legal Adviser. Office of the Assistant Legal Adviser for Economic Affairs. (09/06/1946 - ca. 1972),organization,17,1,59,Most Recent=11 Predecessor=6
10486030,"Department of State. U.S. Embassy, Chile. (11/19/1914 - )",organization,17,1,84,Most Recent=16 Predecessor=1
10454336,"Department of State. U.S. Embassy, China. (09/17/1935 - 02/28/1979)",organization,17,2,59 84,Most Recent=17
10459601,"Department of State. U.S. Embassy, India. (11/01/1946 - )",organization,17,2,59 84,Most Recent=16 Predecessor=1
10460071,"Department of State. U.S. Embassy, Italy. (01/08/1945 - )",organization,17,1,84,Most Recent=16 Predecessor=1
10457865,"Department of State. U.S. Embassy, Japan. (04/28/1952 - )",organization,17,2,59 84,Most Recent=16 Predecessor=1
10479861,Department of State. U.S. Mission to the International Atomic Energy Agency. (09/1957 - 05/1983),organization,17,1,84,Most Recent=17
10461433,Economic Cooperation Administration. Office of the Controller. (1948 - 1951),organization,17,1,469,Most Recent=2 Predecessor=15
10477863,Foreign Operations Administration. Office of the Controller. Office of the European Area Controller. (08/01/1953 - 06/30/1955),organization,17,2,286 469,Most Recent=3 Predecessor=14
10454933,Four Power Commission of Investigation (Former Italian Colonies). (02/10/1947 - 07/31/1948),organization,17,1,43,Most Recent=17
10475177,"Fur Seal Arbitration, United States and Great Britain. (1892 - 1895)",organization,17,1,76,Most Recent=17
10456713,Preliminary International Conference on Electrical Communications. (10/1920 - 12/1920),organization,17,1,43,Most Recent=17
10497079,U.S. Information Agency. Office of Administration. Management Division. (08/01/1953 - ca. 1973),organization,17,1,306,Most Recent=17
10498633,U.S. Information Agency. Office of the Assistant Director for Near East and South Asia. (ca. 1961 - ca. 1970),organization,17,1,306,Most Recent=15 Predecessor=2
10475169,Colombia-Italy Claims Arbitration. (08/14/1894 - 03/02/1897),organization,16,1,76,Most Recent=15 Predecessor=1
10474821,Commission Representing the United States to the Vienna International Exposition. (1872 - 1873),organization,16,1,43,Most Recent=16
10488258,Department of State. Bureau of African Affairs. Office of Eastern and Southern African Affairs. (1960 - 1966),organization,16,1,59,Most Recent=7 Predecessor=9
10459644,Department of State. Bureau of Near Eastern and South Asian Affairs. Office of the Assistant Secretary. (08/20/1958 - 08/24/1992),organization,16,1,59,Most Recent=14 Predecessor=2
10510778,Department of State. Bureau of Politico-Military Affairs. (09/18/1969 - ca. 1993),organization,16,1,59,Most Recent=15 Predecessor=1
10510777,Department of State. Office of the Deputy Under Secretary of State for Political Affairs. Office of the Deputy Assistant Secretary of State for Politico-Military Affairs. (1961 - 09/18/1969),organization,16,1,59,Most Recent=16
10473880,Department of State. Office of the Foreign Liquidation Commissioner. (10/20/1945 - 06/30/1949),organization,16,2,59 169,Most Recent=16
10493514,Department of State. Office of the Legal Adviser. Office of the Assistant Legal Adviser for Inter-American Affairs. (1950 - ca. 2000),organization,16,1,59,Most Recent=16
18222253,"Department of State. Office of the Legal Adviser. Office of the Assistant Legal Adviser for Oceans, International Environmental and Scientific Affairs. (1982 - )",organization,16,1,59,Most Recent=16
